rooms,area_sqm,build_year,resale_price
3,65,1972,285000
3,67,1985,288000
3,68,1979,290000
3,67,1978,295000
3,70,1978,295000
3,68,1981,300000
3,67,1985,301000
3,68,1981,302000
3,73,1977,305000
3,65,1977,308000
3,67,1978,310000
3,68,1979,310000
3,68,1980,310000
3,67,1978,312300
3,68,1981,315000
3,67,1985,315000
3,67,1986,320000
3,68,1979,330000
3,81,1977,335000
3,82,1980,340000
3,68,1980,348000
3,82,1979,349000
3,82,1979,355000
3,73,1979,358000
3,68,1979,358000
3,69,2010,425000
4,90,1977,347000
4,84,1977,348000
4,92,1979,365000
4,84,1988,371000
4,84,1985,380000
4,102,1981,395888
4,93,1981,398000
4,84,1977,398000
4,92,1979,404000
4,92,1979,408000
4,92,1980,410000
4,91,1982,410000
4,91,1981,410000
4,84,1988,415000
4,104,1993,423888
4,84,1985,470000
4,104,1993,475000
4,105,2000,483800
4,108,1996,490000
4,105,2000,548000
4,92,2006,586000
4,92,2006,598000
4,92,2005,611000
4,84,1985,470000
5,121,1985,422000
5,121,1982,467000
5,121,1981,475000
5,121,1998,500000
5,121,1983,515000
5,121,1981,515000
5,117,1978,530000
5,134,1984,603000
5,115,2000,605000
5,120,1977,635000
5,122,1980,655000
5,118,1978,735000
3,64,1988,385000
3,64,1986,400000
3,67,1984,460000
4,84,1987,448000
4,84,1986,498888
4,84,1985,545000
4,103,1992,550000
4,105,1992,555000
4,105,1990,560000
4,103,1992,570000
4,104,1992,572000
4,102,1998,600000
4,104,1992,608000
4,103,1992,610000
4,114,1992,715000
4,95,2011,765000
4,95,2011,788888
4,95,2011,790000
5,121,1984,600000
5,136,1992,680000
5,125,1990,680000
5,121,1988,685000
5,121,1987,710000
5,120,1986,723888
5,121,1986,738000
5,123,1998,738000
5,121,1984,752500
5,123,1998,768000
5,133,1992,770000
5,121,1998,790000
5,120,2011,840000
5,120,2011,890000
5,120,2011,1180000
3,74,1984,243000
3,69,1988,253000
3,60,1988,263000
3,68,1985,265000
3,67,1984,268000
3,69,1985,272000
3,69,1988,275000
3,73,1986,275000
3,68,1984,275000
3,67,1985,285000
3,67,1985,285000
3,68,1984,288000
3,73,1984,290000
3,73,1985,300000
3,73,1983,306000
4,84,1985,335000
4,105,1985,350000
4,89,1986,360000
4,103,1987,380000
4,103,1998,383000
4,92,2004,415000
4,103,1985,425000
4,92,2004,425000
4,102,1998,439000
5,122,1997,450000
5,132,1985,572888
5,133,1985,630000
2,45,1976,245000
3,59,1975,275000
3,74,1984,280000
3,60,1967,306888
3,63,1975,325000
3,67,1976,330000
3,60,1969,331888
3,67,1982,375000
3,65,1983,378000
3,59,1971,380000
3,65,1973,390000
3,82,1978,400000
3,73,1969,435000
3,60,2003,494000
3,68,2013,570000
3,69,2013,583000
4,82,1975,415000
4,92,1978,480000
4,80,1970,485000
4,104,1984,525000
4,88,1975,545000
4,109,1986,545000
4,99,1997,585000
4,100,2005,630000
4,90,2003,695000
4,90,2003,760000
4,89,2013,795888
4,100,2005,800000
5,116,2000,668000
5,118,1979,715000
5,137,1995,750000
5,128,1995,808000
5,115,2001,810000
5,115,2001,837000
5,114,2013,840000
5,115,2001,868000
5,110,2003,875000
5,115,2013,955000
5,114,2013,980000
3,73,1989,255000
3,64,1988,255000
4,103,1988,300000
4,101,1997,330000
4,92,2002,335000
4,102,1999,345000
4,90,2002,358000
4,93,1998,365000
4,102,1999,375000
4,95,2005,375000
4,100,1999,378000
4,93,2004,380000
4,100,1998,405000
4,93,2012,412000
4,93,2012,413000
4,93,2012,423000
5,110,2002,383000
5,110,2001,383000
5,122,1988,400000
5,121,1987,400000
5,110,2002,453000
5,122,1999,460000
5,121,1999,625000
5,110,2001,630000
3,74,1974,425000
5,122,1988,710000
5,122,1989,790000
5,122,1989,810000
3,73,1984,370000
3,74,1977,388000
3,67,1974,400000
3,59,1977,430000
3,60,1980,450000
4,77,1974,480000
4,89,1984,620000
4,93,2011,793000
4,95,2011,805000
4,96,2011,825000
4,93,2011,835000
3,68,1981,258000
3,73,1989,265000
3,74,1984,280000
3,74,1979,288800
4,90,2003,300000
4,92,1979,309000
4,91,2002,313000
4,104,1993,315000
4,102,1996,318000
4,117,1995,323000
4,104,1989,325000
4,103,1998,328000
4,108,1994,330000
4,104,1993,340000
4,101,1997,344000
4,108,1990,345000
4,108,1996,347000
4,111,1996,355000
4,106,1996,360000
4,103,1993,390000
4,92,2013,400000
4,92,2013,403300
4,113,1998,455000
5,122,1993,365000
5,117,1999,371000
5,123,1995,375000
5,110,2002,380000
5,123,1994,388000
5,122,1999,398000
5,119,1990,400000
5,124,1999,400000
5,123,1999,403000
5,119,1997,405000
5,110,2003,408888
5,123,2000,410000
5,110,2002,410000
5,123,2000,425000
5,140,1994,450000
